"start","tracker_item_id","priority","open_date","close_date","summary","details","submitted_by","last_modified_date","last_modified_by"
"===",2839,3,"2014-01-19 16:03:05+00","2014-10-15 10:36:00+00","FamilyHistory needs ""date""","<p>
FamilyHistory doesn't currently have a mechanism to capture when the family history was captured.  A family history that's 5 or 10 years old is less reliable than one that's only a few months old.  As well, where multiple family history records exist, there's a need to identify which one is the most current.</p>

<p>
Recommendation: add ""date"" as an attribute to FamilyHistory and also add ""date"" as a search criteria for the resource.</p>
",105,"2014-10-15 10:36:00+00",150
"===",2840,3,"2014-01-21 15:20:57+00","","Address can't differentiate physical and postal","<p>
In the Location resource, there's a single Address element, however there's a use-case to have both a physical address and a mailing address (typically a PO box).  We could say that the mailing address is captured on the managingOrganization, but the same managingOrganization could be associated with multiple locations and it's possible the mailing address might vary by ""Location""</p>
",105,"2015-03-21 23:46:00+00",2953
"===",2841,3,"2014-01-22 15:11:47+00","2014-10-13 05:19:43+00","Explain how to populate Profile.fhirVersion","<p>
i.e. what is the actual thing that goes in the <a href=""http://hl7.org/implement/standards/fhir/profile-definitions.html#Profile.fhirVersion"">fhirVersion slot</a>?  With examples for how to express v.12</p>

<p>
 </p>
",2904,"2014-10-15 10:36:08+00",150
"===",2842,3,"2014-01-22 15:12:16+00","2014-10-15 10:36:14+00","Ensure that the ""development release"" of FHIR has a URL indicating that it's the development release","<p>
E.g. don't host it at fhir.hl7.org/, but something like...</p>

<p>
* fhir-dev.hl7.org</p>

<p>
* fhir.hl7.org/dev</p>
",2904,"2014-10-15 10:36:14+00",150
"===",2853,3,"2014-01-22 15:12:40+00","2014-10-14 23:11:55+00","You can have Observation.contained.extension ?!","<p>
The Lipids example currently features it...</p>
",2904,"2014-10-15 10:36:18+00",150
"===",2854,3,"2014-01-22 15:13:11+00","2014-10-14 23:15:35+00","On lipids, the profile source spreadsheet is correct, but the export that produces the profile.xml file is somehow losing the profile reference on Resource(Observation)","<p>
Also, in diagnosticreport-profile-lipids.profile.xml (that's a mouthful!) example... I still can't see where the DiagnosticReport structures called #LipidProfile ever references the Observation structures (#Cholesterol, #Triglyceride, #HDLCholesterol, and #LDLCholesterol).  Is this profile still broken?</p>
",2904,"2014-10-15 10:36:26+00",150
"===",2855,3,"2014-01-22 15:13:56+00","2014-10-15 00:32:12+00","don't allow non-fixed bindings for elements of type ""code"".","<p>
it seems like a clear error to have anything but ""fixed"" binding to a ""code"". (If you need incomplete bindings, you should be using ""Coding"" or ""CodeableConcept"" -- as the terminology binding docs imply: <a href=""http://www.hl7.org/implement/standards/fhir/terminologies.html#incomplete"">http://www.hl7.org/implement/standards/fhir/terminologies.html#incomplete</a>)</p>

<p>
This principle is violated in at least eight places:</p>

<p>
  Profile.structure.element.definition.type.code<br />
  Profile.structure.type<br />
  <br />
  Conformance.rest.security.certificate.type<br />
  Conformance.rest.resource.type<br />
  Conformance.rest.resource.searchParam.target<br />
  Conformance.messaging.event.focus<br />
  <br />
  DocumentReference.mimeType</p>
",2904,"2014-10-15 10:36:32+00",150
"===",2856,3,"2014-01-22 15:14:38+00","2014-10-14 23:23:28+00","Profile.structure.element.definition.type elements should repeat to represent disjunction","<p>
 some Profile.structure.element.definition.type.code examples defining disjunctions like: <br />
Resource(Patient|Group|Device|Location)</p>

<p>
while others define disjunctions like:<br />
        &lt;type&gt;&lt;code value=""Quantity""/&gt;&lt;/type&gt;<br />
        &lt;type&gt;&lt;code value=""CodeableConcept""/&gt;&lt;/type&gt;<br />
        (etc.)<br />
... are these equivalent?</p>
",2904,"2014-10-15 10:36:51+00",150
"===",2864,3,"2014-01-24 03:17:21+00","","Make it clear that the Narrative for grouping constructs shouldn't include the narrative for the things grouped","<p>
documents.html says this about documents; but presumably it's true for standalone compositions; for Lists; and or DisgnosticReports. </p>
",2904,"2015-01-13 15:55:34+00",105
"===",2865,3,"2014-01-24 03:18:01+00","","Clarify the functionality of GET [base]/[compartment]/[id]/?","<p>
<br />
[6:30:28 PM] David Hay: Just looking at compartments. The spec (2.1.11) has 2 formats:<br />
[6:30:36 PM] David Hay: GET [base]/[compartment]/[id]/?[parameters]  {&amp;_format=[mime-type]}<br />
  GET [base]/[compartment]/[id]/[type]?[parameters]  {&amp;_format=[mime-type]}<br />
[6:31:30 PM] David Hay: Does the first format (GET [base]/[compartment]/[id]/?[parameters]  {&amp;_format=[mime-type]}) mean that the server should return the most recent version of all known resources on that server?<br />
[6:33:14 PM] David Hay: e.g. GET [base]/patient/100<br />
[7:19:24 PM] Richard Schneider: My understanding is yes, it should return the most recent resource.<br />
[8:53:36 PM] jcmandel: David: I don't think so. Given the mapping to ""Patiient,"" I'd expect fetching [base]/Patient/100 returns the Patient resource<br />
[8:53:50 PM] jcmandel: while fetching [base]/Patient/100/Observation returns a feed of observations about the patient<br />
[8:54:09 PM] jcmandel: But whatever it is, it's not documented clearly.<br />
[9:12:25 PM] David Hay: Aargh - you're correct of course!<br />
[9:13:02 PM] David Hay: We should make a note in the spec as you say...<br />
[9:16:53 PM] jcmandel: Yes -- and it's less clear how a compartment not centered around a resource like Patient would work...</p>

<p>
 </p>
",2904,"2015-03-01 07:55:44+00",150
